"Temp"	"S"	"K"	"BMmax"	"TLmax"	"maxBM"
25	25	1	6	4.36744861498334	744334.835691168
25	25	1	6	3.87834782424409	426348.066911444
25	25	1	6	3.68973116228541	346752.934097977
25	25	1	6	2.29869665315693	3450.92838597434
25	25	1	6	3.17474064716855	4583.34532796519
25	25	1	6	4.38419616220289	528168.265653045
25	25	1	6	2	67176.3788498958
25	25	1	6	4.08973476014546	2281168.03945386
25	25	1	6	4.30425612191812	229836.066101718
25	25	1	6	4.11185356741399	1494402.68232369
25	25	1	6	3.96501498477916	343287.620719753
25	25	1	6	2.0790366227419	2053.62590329967
25	25	1	6	3.79183832771912	4106184.00593684
25	25	1	6	3.35363698342735	34492.5764401906
25	25	1	6	3.61056194523829	5942.89602720051
25	25	1	6	3.65009486705792	358240.483182074
25	25	1	6	4.07841147188062	30549.642459947
25	25	1	6	2.26090142460505	318.047442671592
25	25	1	6	3.49897767033034	11933325.7629008
25	25	1	6	3.31249225316811	5868437.04719401
25	25	1	6	3.77025121131113	1887437.05516246
25	25	1	6	3.01480042537965	1523.92580895949
25	25	1	6	4.0675606874185	317747.336495141
25	25	1	6	3	398.872643565054
25	25	1	6	4.71937808769885	993391.484589966
25	25	1	6	2.81217847631203	2359661.18393765
25	25	1	6	2.71244854582199	476.896316658455
25	25	1	6	3.29621201304687	17865.2133678243
25	25	1	6	3	80.7868359476433
25	25	1	6	2.43232251136525	5480952.44694031
25	25	1	6	3.87184213782642	13667609.0974327
25	25	1	6	4.30574223521362	6373671.98623189
25	25	1	6	2.71339046246416	1868695.76267715
25	25	1	6	1	21.7060848035632
25	25	1	6	3.65565522886662	332657.070614515
25	25	1	6	3.51131611291118	2842.08082475005
25	25	1	6	3.10699105728201	1420.57155716469
25	25	1	6	3.6917434847657	58910.6905837558
25	25	1	6	3.2273325558647	6573599.1394544
25	25	1	6	2.1318224210398	137.402443402464
25	25	1	6	3.44274718273556	2536888.65861305
25	25	1	6	4.08095981830433	1468845.11050258
25	25	1	6	4.22377463201136	2717912.07524689
25	25	1	6	3.38305484968199	621513.887238477
25	25	1	6	3.98478345613583	21705.3750294437
25	25	1	6	4.53435680058488	6019473.46090485
25	25	1	6	3.53372980214601	1045729.13677219
25	25	1	6	4.35399941631661	3811253.51224585
25	25	1	6	2.72745842845616	1134029.07893944
25	25	1	6	3	235.841729000607
25	25	1	6	2.70434218154576	313.093829064286
25	25	1	6	3.83724065233566	4071612.62752066
25	25	1	6	4.69841780716775	1294891.3385362
25	25	1	6	3.0733568024745	475.520614172023
25	25	1	6	2	70.1327221485831
25	25	1	6	3.77165688751643	1224421.56472313
25	25	1	6	3.01272019696756	17953622.5515695
25	25	1	6	3.76859239477564	6120009.53924978
25	25	1	6	4.44498826758934	812336.687560205
25	25	1	6	1	28633.5397214309
25	25	1	6	3	157.064239677961
25	25	1	6	2.67873094027053	4120816.42876429
25	25	1	6	2.88969733736468	3259.7277976521
25	25	1	6	3.27410908046406	1975637.56375697
25	25	1	6	3.17472985713969	203147.397175479
25	25	1	6	4.14142529834164	1363623.63441464
25	25	1	6	4.32722568385101	3496437.50509039
25	25	1	6	4.27438508143017	385155.781518303
25	25	1	6	4.05798097788498	343566.337260327
25	25	1	6	3.61552787682189	3799236.43662346
25	25	1	6	3.43559474942127	2263374.35759206
25	25	1	6	3.26482107604486	5678379.21835997
25	25	1	6	3.87054863733605	5361967.68601201
25	25	1	6	2.57388703001442	860291.671211889
25	25	1	6	3.04210024337683	239.941754443589
25	25	1	6	1	23.9827307785913
25	25	1	6	3.09244309848894	9579126.05567313
25	25	1	6	3.0868669985821	277.177865576769
25	25	1	6	3.41385041437006	1876280.31244286
25	25	1	6	1	21.6218043424428
25	25	1	6	4.19499111395834	362890.949303464
25	25	1	6	3	49.7786661252004
25	25	1	6	3.97047307248967	6698543.90007697
25	25	1	6	3.85580989415565	20312572.2073622
25	25	1	6	2.03046587602663	362.202331317818
25	25	1	6	4.30050776547973	2532685.97236544
25	25	1	6	3.51269832501136	851.527264209403
25	25	1	6	3.52257212477455	1242037.38249009
25	25	1	6	4.2260284668143	1836834.63253502
25	25	1	6	2.81518660906029	1474.74420186566
25	25	1	6	4.47279257753726	330541.125847863
20	50	1	6	3.54349785381077	14936995.5215953
20	50	1	6	4.35613131137601	1943824.43714244
20	50	1	6	4.04766611615999	1295474.71078223
20	50	1	6	2.92532872246414	275.858637251953
20	50	1	6	3.50154434537602	2538107.20626074
20	50	1	6	3.24940389787756	21416531.7548642
20	50	1	6	3.28179745513389	13637853.1807977
20	50	1	6	4.24674291272065	10680351.1658462
20	50	1	6	4.46386446883594	5656183.39841951
20	50	1	6	4.43332284094231	66549.6921829064
20	50	1	6	3.34630685328892	1395.61829235836
20	50	1	6	4.09157580865543	8573.94981336806
20	50	1	6	3.58862309350544	12169933.772118
20	50	1	6	4.06009541225938	5091628.31109281
20	50	1	6	3.31837832905685	4969423.31861036
20	50	1	6	3.6592837077746	9431783.78956862
20	50	1	6	3.28025669434127	2872452.7760699
